N,numTh-Method,ExecutionTime
100000,1T-Serial,0.053054
1000000,1T-Serial,0.351082
10000000,1T-Serial,3.472810
100000000,1T-Serial,34.921758
100000,1T-ParallelReduction,0.02677
100000,1T-ParallelCritical,0.094149
100000,2T-ParallelReduction,0.017074
100000,2T-ParallelCritical,0.116636
100000,4T-ParallelReduction,0.01338
100000,4T-ParallelCritical,0.285338
100000,8T-ParallelReduction,0.015298
100000,8T-ParallelCritical,0.190868
100000,12T-ParallelReduction,0.017721
100000,12T-ParallelCritical,0.186371
100000,16T-ParallelReduction,0.022531
100000,16T-ParallelCritical,0.191192
100000,20T-ParallelReduction,0.026786
100000,20T-ParallelCritical,0.200726
100000,24T-ParallelReduction,0.025095
100000,24T-ParallelCritical,0.201227
1000000,1T-ParallelReduction,0.139454
1000000,1T-ParallelCritical,0.682121
1000000,2T-ParallelReduction,0.081073
1000000,2T-ParallelCritical,1.05677
1000000,4T-ParallelReduction,0.05486
1000000,4T-ParallelCritical,2.35546
1000000,8T-ParallelReduction,0.038898
1000000,8T-ParallelCritical,1.65696
1000000,12T-ParallelReduction,0.042523
1000000,12T-ParallelCritical,1.54543
1000000,16T-ParallelReduction,0.046629
1000000,16T-ParallelCritical,1.61694
1000000,20T-ParallelReduction,0.044861
1000000,20T-ParallelCritical,1.62309
1000000,24T-ParallelReduction,0.044158
1000000,24T-ParallelCritical,1.64597
10000000,1T-ParallelReduction,1.16429
10000000,1T-ParallelCritical,6.44304
10000000,2T-ParallelReduction,0.591928
10000000,2T-ParallelCritical,10.9987
10000000,4T-ParallelReduction,0.316258
10000000,4T-ParallelCritical,23.3082
10000000,8T-ParallelReduction,0.198422
10000000,8T-ParallelCritical,15.5522
10000000,12T-ParallelReduction,0.19258
10000000,12T-ParallelCritical,14.9004
10000000,16T-ParallelReduction,0.178702
10000000,16T-ParallelCritical,16.0154
10000000,20T-ParallelReduction,0.162164
10000000,20T-ParallelCritical,15.6365
10000000,24T-ParallelReduction,0.234471
10000000,24T-ParallelCritical,15.5668
100000000,1T-ParallelReduction,11.5887
100000000,1T-ParallelCritical,66.1032
100000000,2T-ParallelReduction,5.76882
100000000,2T-ParallelCritical,108.181
100000000,4T-ParallelReduction,3.15226
100000000,4T-ParallelCritical,223.092
100000000,8T-ParallelReduction,1.71533
100000000,8T-ParallelCritical,147.105
100000000,12T-ParallelReduction,1.96958
100000000,12T-ParallelCritical,144.706
100000000,16T-ParallelReduction,1.60368
100000000,16T-ParallelCritical,154.637
100000000,20T-ParallelReduction,1.56811
100000000,20T-ParallelCritical,156.3
100000000,24T-ParallelReduction,1.61802
100000000,24T-ParallelCritical,157.711
