Grid_Size,Num_Threads,Time_Spent
64,1,0.042841
128,1,0.196699
256,1,1.37011
512,1,10.1693
1024,1,82.2877
64,2,0.133391
128,2,0.305287
256,2,1.10539
512,2,6.4178
1024,2,47.4465
64,3,0.166138
128,3,0.339283
256,3,1.0268
512,3,5.40035
1024,3,48.0802
64,4,0.227593
128,4,0.428898
256,4,1.14348
512,4,5.02157
1024,4,41.3988
64,5,0.253147
128,5,0.457417
256,5,1.28646
512,5,6.28126
1024,5,39.3296
64,6,0.274816
128,6,0.510055
256,6,1.30466
512,6,6.13935
1024,6,32.2621
64,7,0.401528
128,7,0.586548
256,7,1.30939
512,7,6.29341
1024,7,28.7611
64,8,0.367223
128,8,0.560118
256,8,1.34915
512,8,5.05723
1024,8,25.6587
64,9,0.38962
128,9,0.638161
256,9,1.48919
512,9,5.88413
1024,9,31.5613
64,10,0.373839
128,10,0.685899
256,10,1.45326
512,10,5.72024
1024,10,30.9184
64,11,0.401349
128,11,0.702296
256,11,1.55674
512,11,5.47227
1024,11,31.3545
64,12,0.502768
128,12,0.826395
256,12,1.58541
512,12,5.44822
1024,12,31.145
64,13,0.487864
128,13,0.759764
256,13,1.81084
512,13,6.05826
1024,13,30.9006
64,14,0.51606
128,14,0.863362
256,14,1.80564
512,14,5.88045
1024,14,30.8403
64,15,0.509974
128,15,1.07536
256,15,1.78183
512,15,6.00942
1024,15,30.4964
64,16,0.529861
128,16,0.9643
256,16,2.00758
512,16,5.86198
1024,16,30.2382
64,17,0.566886
128,17,0.977485
256,17,1.91016
512,17,6.27743
1024,17,31.8224
64,18,0.714442
128,18,1.05976
256,18,2.00334
512,18,6.23532
1024,18,34.0869
64,19,0.641627
128,19,1.04183
256,19,2.23472
512,19,6.22011
1024,19,35.8809
64,20,0.659907
128,20,1.13937
256,20,2.15167
512,20,6.29955
1024,20,36.0832
64,21,0.733835
128,21,1.46764
256,21,2.65815
512,21,7.10069
1024,21,36.9288
64,22,0.781388
128,22,1.35418
256,22,2.52009
512,22,7.16609
1024,22,38.6715
64,23,0.958919
128,23,1.30166
256,23,2.62986
512,23,7.43857
1024,23,37.8407
64,24,0.824901
128,24,1.41644
256,24,3.01013
512,24,8.32679
1024,24,38.5491
