Size,Rank,Thread,Execution Time
128,1,1,0.566441
128,1,2,0.969934
128,1,3,1.13576
128,1,4,1.44169
128,1,5,1.5571
128,1,6,1.74167
128,1,7,1.8549
128,1,8,2.07998
128,1,9,2.07679
128,1,10,2.2963
128,2,1,0.311364
128,2,2,1.09632
128,2,3,1.33912
128,2,4,1.76186
128,2,5,2.24496
128,2,6,2.35359
128,2,7,2.781
128,2,8,3.14419
128,2,9,3.30484
128,2,10,3.15926
128,4,1,0.187422
128,4,2,2.61476
128,4,3,3.63025
128,4,4,4.71056
128,4,5,5.59008
128,4,6,7.57001
128,4,7,8.83898
128,4,8,9.12729
128,4,9,10.8292
128,4,10,12.0198
256,1,1,4.04462
256,1,2,3.40534
256,1,3,3.2698
256,1,4,3.65738
256,1,5,3.91599
256,1,6,4.34973
256,1,7,4.50203
256,1,8,4.43853
256,1,9,4.68405
256,1,10,4.8839
256,2,1,2.04407
256,2,2,2.76918
256,2,3,3.20297
256,2,4,3.52614
256,2,5,4.27581
256,2,6,4.57125
256,2,7,5.61304
256,2,8,5.77485
256,2,9,6.42067
256,2,10,6.79938
256,4,1,1.14645
256,4,2,4.58558
256,4,3,5.89627
256,4,4,7.67691
256,4,5,11.0592
256,4,6,12.9748
256,4,7,15.2999
256,4,8,17.0371
256,4,9,19.5049
256,4,10,21.7106
512,1,1,30.6027
512,1,2,19.5432
512,1,3,16.2071
512,1,4,15.7985
512,1,5,19.909
512,1,6,18.1519
512,1,7,17.9255
512,1,8,16.8144
512,1,9,18.1083
512,1,10,17.8869
512,2,1,15.1761
512,2,2,14.3122
512,2,3,16.056
512,2,4,14.8609
512,2,5,16.9719
512,2,6,17.1606
512,2,7,17.7559
512,2,8,18.0486
512,2,9,18.9488
512,2,10,19.7596
512,4,1,7.80017
512,4,2,14.995
512,4,3,15.7698
512,4,4,18.9129
512,4,5,21.2156
512,4,6,26.1418
512,4,7,30.7474
512,4,8,34.0915
512,4,9,38.442
512,4,10,41.2489
1024,1,1,243.101
